id,nct_id,priority,track,status,last_checked,condition,intervention,linked_pubmed,evidence_role,protocol_impact,next_check
CTG-011,NCT07185971,High,VR-HMD compensation/chronic visual field loss,Recruiting,2026-07-09,Homonymous hemianopsia; homonymous quadrantanopia after stroke/TBI/brain surgery,PAVE treatment using a virtual-reality head-mounted display,,Recruiting HMD-based visual-field enhancement lead for chronic field loss,Compensation/device comparator only; do not treat as restorative AV evidence,Monthly status and publication/device-data check
CTG-012,NCT06136169,Medium,Scanning compensation/results,Active not recruiting with results posted; registry results updated 2026-07-09,2026-07-09,Homonymous hemianopia; homonymous quadrantanopia,Reminder-cue scanning training,PMID42140549,Compensatory scanning-training comparator with posted registry outcomes and linked Archives PM&R publication,"Functional compensation evidence only; useful for head-scan/hazard-detection metrics, not restorative AV dose or driving clearance",Track 1-month outcomes/publication details and any registry result updates
CTG-013,NCT07134777,Medium,Occipital-stroke mechanism,Recruiting,2026-07-09,Cortical blindness; ischemic stroke; partial vision loss; homonymous hemianopia; occipital lobe infarct,MRI mechanism study,,Mechanism/imaging watch lead for occipital-stroke visual restoration,Mechanism watch only; no intervention result yet,Check protocol and future publications
CTG-014,NCT06047717,Medium,VR navigation/function,Recruiting,2026-07-09,Stroke-related homonymous hemianopia/quadrantanopia and partial vision loss,Virtual Reality Driving Task,,Functional navigation and steering measurement lead in VR,"Useful for future function tracker, not treatment efficacy",Track outcome measures and related VR steering papers
CTG-015,NCT07147660,Medium,Driving/scanning compensation,Recruiting,2026-07-09,Stroke; visual field loss; hemianopia,Compensatory scanning training; delayed compensatory scanning training,,Driving-focused visual rehabilitation/scanning-training trial,Driving/function lane only; no driving clearance or restorative protocol implication,Track recruitment and publications
CTG-016,NCT04827147,Medium,Prism compensation/results,Active not recruiting with results posted,2026-07-09,Homonymous hemianopia,Multi-periscopic prism glasses; Fresnel peripheral prism glasses,PMID42274646,Prism/accommodation comparator with posted registry outcomes and randomized crossover publication,Accommodation evidence only; do not mix prism field expansion with restorative AV training claims,"Track device preference, adverse events, and follow-up publications"
CTG-017,NCT05525949,Medium,Digital visual perceptual learning,Completed,2026-07-09,Visual fields hemianopsia; homonymous hemianopsia,VIVID Brain; no-treatment control,,Completed digital visual perceptual learning comparator for post-stroke visual-field defect,Comparator only; wait for results/publication before use,Check for results posting or linked paper
CTG-018,NCT07659691,High,AV multisensory/cortical damage,Not yet recruiting,2026-07-09,Cortical blindness; hemianopia from visual cortex damage,Multisensory Rehabilitation,,New Wake Forest multisensory rehabilitation registry lead first posted 2026-06-22,High-priority AV watch only; no results and no current protocol change,"Check recruitment start, protocol, adult/chronic stroke match, and publications"
CTG-019,NCT07635329,High,Home-based imaging-guided visual training,Recruiting,2026-07-09,Visual field defect; stroke; homonymous hemianopia; quadrantanopia; cortical blindness; TBI,High-level and low-level perceptual learning-based training,,BRIGHT home-based visual rehabilitation guided by brain imaging,Home-training/restoration comparator only; recruitment status does not change Quest AV protocol,"Track protocol, dose, imaging guidance, outcomes, and papers"
CTG-020,NCT06875206,High,Focused ultrasound + immersive VR,Not yet recruiting,2026-07-09,Stroke visual field defect; hemianopia; quadrantanopia; occipital lobe infarct,Low-intensity focused ultrasound; immersive virtual reality; inactive ultrasound,,Neuromodulation plus VR visual-restoration trial lead,Clinician/research watch only; no stimulation/hardware change for NegletFix,"Track start, safety parameters, imaging endpoints, and results"
CTG-021,NCT07237412,Medium,Neurofeedback visual restoration,Recruiting,2026-07-09,Homonymous bilateral visual field defect,Neurofeedback,,Neurofeedback-based VRT registry comparator,Future EEG/neurofeedback research lane only; no Muse TP10 protocol impact,"Identify signal source, training target, and outcomes"
CTG-022,NCT06241209,Medium,Low-tech visual stimulation,Recruiting,2026-07-09,Hemianopsia after stroke or brain injury; peripheral visual field defect; visual impairment,PowerPoint program visual stimulation,,Low-tech visual stimulation comparator for hemianopsia rehabilitation,Comparator only; no evidence until results,"Track dose, outcome measures, and result posting"
CTG-023,NCT06341777,High,AV telerehabilitation/comparator,Completed,2026-07-09,Visual field defect following cerebrovascular accident; hemianopia; brain injuries,Audio-visual training telerehabilitation,PMID39994637,Completed home AVT telerehabilitation comparator with published feasibility results,"Supports home AV delivery and function improvements, but interpreted as compensatory oculomotor evidence",Compare full text dose/outcomes to NegletFix Quest AV plan
CTG-024,NCT07105358,Medium,tRNS + perceptual learning,Recruiting,2026-07-09,Visual field defect; stroke; hemianopia; quadrantanopia; cortical blindness; TBI; brain tumor,tRNS; sham stimulation; perceptual learning-based training,,NIBS plus visual-training comparator,Watch only; do not add tRNS or stimulation to NegletFix,"Track protocol, sham design, parameters, and outcomes"
CTG-025,NCT06578117,Medium,Statistical learning visual training,Enrolling by invitation,2026-07-09,Ischemic/hemorrhagic stroke; homonymous hemianopia; occipital lobe infarct; quadrantanopia,Vision Training and Learning Task,,Visual learning/restoration comparator aiming to reduce training burden,Watch only until results,"Track paradigm, dose burden, and publications"
CTG-026,NCT06638619,Medium,Saccadic/biofeedback compensation,Not yet recruiting,2026-07-09,Homonymous hemianopia,Biofeedback Fixation Training; Saccadic Reading Training,,Late-June update comparing eye-tracking biofeedback and saccadic reading training,Compensation/reading comparator only,Track recruitment and outcome design
CTG-027,NCT05141604,Medium,VR mobility/field expansion,Active not recruiting,2026-07-09,Hemianopsia; homonymous hemianopia; low vision field defects,Field expansion view,,VR/HMD obstacle-detection and field-expansion mobility comparator updated 2026-07-02,Mobility/accommodation measurement lead only,Track outcome measures and publication links
